V1,Date_Deb_Situ,ANNEE,Date_Fin_Situ,IDA,Responsabilite_IDA,ANNEE_CLOTURE,CHARGE_SINISTRE,Num_contrat,IMMAT
1,2011-01-01,2011,2011-05-17,1,0,2012,-684.17032670558,3,36
2,2013-09-22,2013,2013-12-08,0,0,2014,3202.71818038234,4,43
3,2012-01-01,2012,2012-12-31,0,100,2014,480.329044667393,7,72
4,2013-04-05,2013,2013-10-23,1,0,2013,-377.826369530805,7,75
5,2011-02-01,2011,2011-12-31,0,0,2011,1102.1139367052,12,101
6,2011-02-01,2011,2011-12-31,1,0,2011,3707.39565229827,12,104
7,2011-02-01,2011,2011-12-31,1,50,2012,2216.75238534611,12,104
8,2011-11-01,2011,2011-12-31,0,0,2012,1020.42437047384,14,109
9,2013-01-08,2013,2013-08-31,0,0,2013,936.094093894589,17,120
10,2011-11-01,2011,2011-12-31,0,0,2012,456.390196983023,18,127
11,2013-01-01,2013,2013-09-30,1,0,2013,-709.262464215357,19,145
12,2011-04-01,2011,2011-10-13,0,0,2012,1383.23641545519,28,179
14,2011-01-01,2011,2011-08-01,0,0,2011,853.121896922827,33,191
15,2013-01-01,2013,2013-12-31,0,0,2013,1323.98749797614,33,192
17,2013-01-01,2013,2013-06-30,1,0,2014,503.470290042604,37,205
19,2012-04-01,2012,2012-09-27,0,0,2013,140.119324582087,40,215
20,2012-04-01,2012,2012-09-27,0,0,2012,434.951940321964,40,215
21,2012-09-28,2012,2012-12-31,0,0,2012,3880.70169998714,40,216
22,2013-04-01,2013,2013-07-31,0,0,2014,376.737750162898,40,217
23,2013-07-19,2013,2013-09-02,0,0,2014,1156.03831985013,41,222
25,2011-01-01,2011,2011-12-31,0,0,2012,273.599148860899,42,234
26,2011-10-06,2011,2011-11-06,0,0,2012,422.22263860416,45,245
29,2013-01-01,2013,2013-12-31,1,0,2014,1003.27592082691,53,316
30,2011-01-01,2011,2011-04-06,1,0,2011,-430.651354898252,69,377
31,2012-04-01,2012,2012-07-12,0,0,2012,642.209978198037,71,394
32,2012-01-01,2012,2012-03-31,0,0,2012,1630.60091539049,72,407
34,2012-02-01,2012,2012-12-31,0,0,2013,3929.74346359087,79,442
